WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.6318889 -6.1783056)",1541.0,16.0,Kota Tangerang,3671.0,2.0,-6.1783056,106.6318889,1.0
"POINT (106.040506 -6.0169825)",1542.0,16.0,Kota Cilegon,3672.0,2.0,-6.0169825,106.040506,1.0
"POINT (106.150299 -6.12009)",1543.0,16.0,Kota Serang,3673.0,2.0,-6.12009,106.150299,1.0
"POINT (105.6864203 -6.7351066)",1537.0,16.0,Kabupaten Pandeglang,3601.0,2.0,-6.7351066,105.6864203,1.0
"POINT (106.3250007 -6.5098197)",1538.0,16.0,Kabupaten Lebak,3602.0,2.0,-6.5098197,106.3250007,1.0
"POINT (106.48838 -6.1858149)",1539.0,16.0,Kabupaten Tangerang,3603.0,2.0,-6.1858149,106.48838,1.0
"POINT (106.0376891 -6.1364761)",1540.0,16.0,Kabupaten Serang,3604.0,2.0,-6.1364761,106.0376891,1.0
